Experiment,Total Reads,Aligned Reads % (Transcriptome)
LPS_6h_S76_rsem,6908582,55.17
LPS_6h_S77_rsem,12643715,49.21
LPS_6h_S80_rsem,3847063,53.38
LPS_6h_S81_rsem,5168856,58.52
LPS_6h_S84_rsem,6197182,59.38
LPS_6h_S85_rsem,10787228,57.2
LPS_6h_S86_rsem,5665660,40.23
LPS_6h_S87_rsem,7040888,27.95
LPS_6h_S88_rsem,5271163,50.85
LPS_6h_S89_rsem,10764615,52.35
LPS_6h_S8_rsem,7660861,59.79
LPS_6h_S90_rsem,2611714,55.67
LPS_6h_S94_rsem,2938427,52.49
LPS_6h_S95_rsem,7992096,54.02
LPS_6h_S96_rsem,10105874,57.21
LPS_6h_S9_rsem,3918785,53.7
Unstimulated_S10_rsem,8385005,38.88
Unstimulated_S11_rsem,7792171,41.53
Unstimulated_S12_rsem,13676559,51.86
Unstimulated_S13_rsem,8314156,49.59
Unstimulated_S14_rsem,7349925,54.93
Unstimulated_S15_rsem,8930811,56.67
Unstimulated_S16_rsem,8438017,55.94
Unstimulated_S17_rsem,8517120,54.22
Unstimulated_S19_rsem,13596158,48.27
Unstimulated_S1_rsem,8225362,54.83
Unstimulated_S20_rsem,1044820,55.4
Unstimulated_S21_rsem,7850866,51.28
Unstimulated_S22_rsem,8538230,45.74
Unstimulated_S23_rsem,5975840,40.46
Unstimulated_S24_rsem,11633075,58.51
Unstimulated_S25_rsem,10484849,57.98
Unstimulated_S26_rsem,9029330,51.77
Unstimulated_S27_rsem,8815276,55.21
Unstimulated_S28_rsem,11774581,59.86
Unstimulated_S29_rsem,8730141,54.17
Unstimulated_S2_rsem,9720234,53.99
Unstimulated_S30_rsem,9376596,50.63
Unstimulated_S31_rsem,10155455,45.98
Unstimulated_S32_rsem,9149578,48.17
Unstimulated_S33_rsem,12995821,58.66
Unstimulated_S34_rsem,8149340,43.84
Unstimulated_S35_rsem,11824011,51.68
Unstimulated_S36_rsem,14267373,59.53
Unstimulated_S38_rsem,6376144,59.9
Unstimulated_S39_rsem,7259321,57.69
Unstimulated_S3_rsem,11518031,48.43
Unstimulated_S41_rsem,5079683,35.12
Unstimulated_S42_rsem,8081522,47.47
Unstimulated_S43_rsem,9639236,51.48
Unstimulated_S44_rsem,10416827,48.73
Unstimulated_S45_rsem,8199034,53.52
Unstimulated_S46_rsem,7662878,52.1
Unstimulated_S47_rsem,5423800,33.02
Unstimulated_S48_rsem,9337236,57.84
Unstimulated_S49_rsem,8256257,52.03
Unstimulated_S4_rsem,4056968,35.98
Unstimulated_S50_rsem,9383900,59.21
Unstimulated_S51_rsem,4613328,20.94
Unstimulated_S52_rsem,9512704,58.43
Unstimulated_S53_rsem,10235345,50.72
Unstimulated_S54_rsem,10507856,48.95
Unstimulated_S56_rsem,9483218,58.21
Unstimulated_S57_rsem,10752966,52.32
Unstimulated_S58_rsem,9434867,52.56
